Period,Mean real labour income,Total workers
47,6027.797817448087,11029164
Period,Mean real labour income,Total workers
48,6138.626078792467,11204411
Period,Mean real labour income,Total workers
49,6353.668407579574,10990578
Period,Mean real labour income,Total workers
50,6691.1046112911245,11001478
Period,Mean real labour income,Total workers
51,6974.394599213255,11063214
Period,Mean real labour income,Total workers
52,6937.261923131147,11068313
Period,Mean real labour income,Total workers
53,6524.3570616598045,11072695
Period,Mean real labour income,Total workers
54,6333.818531128706,11091712
Period,Mean real labour income,Total workers
55,6398.887289952824,11230660
Period,Mean real labour income,Total workers
56,6495.251812950514,11226079
Period,Mean real labour income,Total workers
57,6558.004829225716,11121306
Period,Mean real labour income,Total workers
58,6544.451937246982,11089020
Period,Mean real labour income,Total workers
59,6704.053464677346,11087404
Period,Mean real labour income,Total workers
60,6727.1442384424445,11157168
Period,Mean real labour income,Total workers
61,6599.263522879399,11215246
Period,Mean real labour income,Total workers
62,6591.755127638768,11298878
Period,Mean real labour income,Total workers
63,6691.7235564363355,11339098
Period,Mean real labour income,Total workers
64,6720.634093239973,11378571
Period,Mean real labour income,Total workers
65,6746.024178195926,11433154
Period,Mean real labour income,Total workers
66,6798.354579611063,11412695
Period,Mean real labour income,Total workers
67,6797.190916634632,11509088
Period,Mean real labour income,Total workers
68,6857.806660902989,11516546
Period,Mean real labour income,Total workers
69,6905.428374577793,11547322
Period,Mean real labour income,Total workers
70,6923.296261537755,11596096
Period,Mean real labour income,Total workers
71,6993.885875482347,11583269
Period,Mean real labour income,Total workers
72,7038.5702607168905,11610125
Period,Mean real labour income,Total workers
73,7069.2787830300485,11696162
Period,Mean real labour income,Total workers
74,7097.056837044602,11729090
Period,Mean real labour income,Total workers
75,7137.377737263794,11775131
Period,Mean real labour income,Total workers
76,7173.96657560506,11789873
Period,Mean real labour income,Total workers
77,7224.274794935509,11836318
Period,Mean real labour income,Total workers
78,7216.1130808677835,11906854
Period,Mean real labour income,Total workers
79,7298.069117283491,11912741
Period,Mean real labour income,Total workers
80,7354.843801043237,11939087
Period,Mean real labour income,Total workers
81,7350.626987240213,12006931
Period,Mean real labour income,Total workers
82,7389.881927150848,11989887
Period,Mean real labour income,Total workers
83,7420.206597968305,12041248
Period,Mean real labour income,Total workers
84,7473.255543030956,12071377
Period,Mean real labour income,Total workers
85,7477.740677832877,12073992
Period,Mean real labour income,Total workers
86,7500.063240438706,12160857
Period,Mean real labour income,Total workers
87,7542.222478257477,12188757
Period,Mean real labour income,Total workers
88,7593.248677713089,12233868
Period,Mean real labour income,Total workers
89,7623.80684146287,12205706
Period,Mean real labour income,Total workers
90,7687.15261358867,12253240
Period,Mean real labour income,Total workers
91,7739.008892355739,12326801
Period,Mean real labour income,Total workers
92,7766.251141700877,12361584
Period,Mean real labour income,Total workers
93,7823.833379245965,12363083
Period,Mean real labour income,Total workers
94,7859.145003709969,12442268
Period,Mean real labour income,Total workers
95,7882.450620918915,12471182
Period,Mean real labour income,Total workers
96,7923.6257964461865,12531651
Period,Mean real labour income,Total workers
97,7950.6163108657065,12575033
Period,Mean real labour income,Total workers
98,7979.112111307657,12624287
Period,Mean real labour income,Total workers
99,8051.977563725743,12601365
Period,Mean real labour income,Total workers
100,8073.194241768625,12661582
Period,Mean real labour income,Total workers
101,8156.0628941870855,12584695
Period,Mean real labour income,Total workers
102,8169.592012022818,12630795
Period,Mean real labour income,Total workers
103,8202.051939249206,12633181
Period,Mean real labour income,Total workers
104,8207.391543789054,12774490
Period,Mean real labour income,Total workers
105,8300.38749820746,12727942
Period,Mean real labour income,Total workers
106,8294.092051673893,12824552
Period,Mean real labour income,Total workers
107,8337.309395493488,12824160
Period,Mean real labour income,Total workers
108,8393.522965208118,12839578
Period,Mean real labour income,Total workers
109,8455.352603501427,12778747
Period,Mean real labour income,Total workers
110,8492.54745452399,12832123
Period,Mean real labour income,Total workers
111,8511.688969963216,12906520
Period,Mean real labour income,Total workers
112,8522.884422807045,12931565
Period,Mean real labour income,Total workers
113,8543.757251253792,12858719
Period,Mean real labour income,Total workers
114,8581.600394167088,12893105
Period,Mean real labour income,Total workers
115,8576.475299091933,12984625
Period,Mean real labour income,Total workers
116,8640.468482582626,12932823
Period,Mean real labour income,Total workers
117,8698.446790270054,12963623
Period,Mean real labour income,Total workers
118,8730.402166517617,12991107
Period,Mean real labour income,Total workers
119,8741.766364119963,13026940
Period,Mean real labour income,Total workers
120,8784.613259606289,13081539
Period,Mean real labour income,Total workers
121,8821.209664424829,13087598
Period,Mean real labour income,Total workers
122,8837.896301654679,13103265
Period,Mean real labour income,Total workers
123,8898.45068118722,13125001
Period,Mean real labour income,Total workers
124,8898.960293109494,13141699
Period,Mean real labour income,Total workers
125,8932.324542208666,13148141
Period,Mean real labour income,Total workers
126,8974.035939625253,13170021
Period,Mean real labour income,Total workers
127,9008.681123045315,13135678
Period,Mean real labour income,Total workers
128,9016.080622744716,13172133
Period,Mean real labour income,Total workers
129,9068.996604818965,13115323
Period,Mean real labour income,Total workers
130,9109.62357661907,13130352
Period,Mean real labour income,Total workers
131,9135.607090020954,13098589
Period,Mean real labour income,Total workers
132,9161.962240328381,13110467
Period,Mean real labour income,Total workers
133,9215.285547657595,13089661
Period,Mean real labour income,Total workers
134,9217.600886373708,13085804
Period,Mean real labour income,Total workers
135,9267.486873214375,13043990
Period,Mean real labour income,Total workers
136,9249.157306857627,13156418
Period,Mean real labour income,Total workers
137,9290.877510795412,13163610
Period,Mean real labour income,Total workers
138,9325.413411600977,13179000
Period,Mean real labour income,Total workers
139,9346.311101943551,13209542
Period,Mean real labour income,Total workers
140,9418.160121416313,13144706
Period,Mean real labour income,Total workers
141,9431.692366274496,13165672
Period,Mean real labour income,Total workers
142,9436.502701187399,13184336
Period,Mean real labour income,Total workers
143,9449.395802440431,13156621
Period,Mean real labour income,Total workers
144,9501.251082910743,13165520
Period,Mean real labour income,Total workers
145,9539.673385674305,13170980
Period,Mean real labour income,Total workers
146,9578.065541825375,13148025
Period,Mean real labour income,Total workers
147,9597.210630007059,13174481
Period,Mean real labour income,Total workers
148,9670.572927558016,13159116
Period,Mean real labour income,Total workers
149,9707.728498729037,13197036
Period,Mean real labour income,Total workers
150,9712.39823404571,13223975
Period,Mean real labour income,Total workers
151,9707.542335275271,13226930
Period,Mean real labour income,Total workers
152,9732.010123239375,13195028
