Period,Mean real labour income,Total workers
47,6027.797817448087,11029164
Period,Mean real labour income,Total workers
48,6138.626078792467,11204411
Period,Mean real labour income,Total workers
49,6353.668407579574,10990578
Period,Mean real labour income,Total workers
50,6691.1046112911245,11001478
Period,Mean real labour income,Total workers
51,6974.394599213255,11063214
Period,Mean real labour income,Total workers
52,6937.261923131147,11068313
Period,Mean real labour income,Total workers
53,6524.3570616598045,11072695
Period,Mean real labour income,Total workers
54,6333.818531128706,11091712
Period,Mean real labour income,Total workers
55,6398.887289952824,11230660
Period,Mean real labour income,Total workers
56,6495.251812950514,11226079
Period,Mean real labour income,Total workers
57,6557.955979655783,11120714
Period,Mean real labour income,Total workers
58,6542.6689661640285,11089267
Period,Mean real labour income,Total workers
59,6706.955163138004,11082161
Period,Mean real labour income,Total workers
60,6729.72075675346,11151304
Period,Mean real labour income,Total workers
61,6630.201098753582,11229577
Period,Mean real labour income,Total workers
62,6638.123098833965,11232496
Period,Mean real labour income,Total workers
63,6696.626491560822,11260601
Period,Mean real labour income,Total workers
64,6692.883876840623,11377656
Period,Mean real labour income,Total workers
65,6742.513637193805,11391500
Period,Mean real labour income,Total workers
66,6776.6226609872665,11399485
Period,Mean real labour income,Total workers
67,6801.51211496827,11425999
Period,Mean real labour income,Total workers
68,6828.142530474077,11536451
Period,Mean real labour income,Total workers
69,6854.58607809545,11556870
Period,Mean real labour income,Total workers
70,6893.038488230373,11652564
Period,Mean real labour income,Total workers
71,6948.134938059891,11705207
Period,Mean real labour income,Total workers
72,7027.344236287888,11672534
Period,Mean real labour income,Total workers
73,7061.161083289047,11708775
Period,Mean real labour income,Total workers
74,7076.252195706072,11788736
Period,Mean real labour income,Total workers
75,7090.326022055284,11893548
Period,Mean real labour income,Total workers
76,7156.112235767321,11865703
Period,Mean real labour income,Total workers
77,7211.165990600061,11865699
Period,Mean real labour income,Total workers
78,7229.010477372648,11935297
Period,Mean real labour income,Total workers
79,7245.190180954944,11940471
Period,Mean real labour income,Total workers
80,7300.139588423675,12004615
Period,Mean real labour income,Total workers
81,7335.685389103929,12054048
Period,Mean real labour income,Total workers
82,7358.39121982874,12098096
Period,Mean real labour income,Total workers
83,7422.282072037997,12069871
Period,Mean real labour income,Total workers
84,7476.0665581951225,12070851
Period,Mean real labour income,Total workers
85,7533.034386767551,12022530
Period,Mean real labour income,Total workers
86,7517.169397760167,12136474
Period,Mean real labour income,Total workers
87,7555.455913007373,12165291
Period,Mean real labour income,Total workers
88,7547.6674518028585,12262152
Period,Mean real labour income,Total workers
89,7617.7902641284045,12323098
Period,Mean real labour income,Total workers
90,7633.395869152501,12416200
Period,Mean real labour income,Total workers
91,7699.0914096994475,12438854
Period,Mean real labour income,Total workers
92,7757.115256989823,12453979
Period,Mean real labour income,Total workers
93,7773.888760190053,12515326
Period,Mean real labour income,Total workers
94,7847.452194890182,12482129
Period,Mean real labour income,Total workers
95,7905.751982181454,12495984
Period,Mean real labour income,Total workers
96,7939.693005675677,12489423
Period,Mean real labour income,Total workers
97,7956.710329410889,12544471
Period,Mean real labour income,Total workers
98,7940.8345257771025,12589226
Period,Mean real labour income,Total workers
99,7997.787030810327,12633855
Period,Mean real labour income,Total workers
100,8072.370976226478,12618767
Period,Mean real labour income,Total workers
101,8093.2077548355865,12671841
Period,Mean real labour income,Total workers
102,8137.065481951026,12680091
Period,Mean real labour income,Total workers
103,8169.21782966718,12763440
Period,Mean real labour income,Total workers
104,8249.325871800065,12733564
Period,Mean real labour income,Total workers
105,8315.008250300165,12758627
Period,Mean real labour income,Total workers
106,8339.52668835681,12755559
Period,Mean real labour income,Total workers
107,8359.522648071039,12788133
Period,Mean real labour income,Total workers
108,8434.127426752004,12818989
Period,Mean real labour income,Total workers
109,8435.188656425795,12905662
Period,Mean real labour income,Total workers
110,8478.13784401089,12814801
Period,Mean real labour income,Total workers
111,8510.256960862007,12857212
Period,Mean real labour income,Total workers
112,8539.493142364956,12859461
Period,Mean real labour income,Total workers
113,8568.922994569879,12878739
Period,Mean real labour income,Total workers
114,8559.142137312287,12895891
Period,Mean real labour income,Total workers
115,8590.801295955556,12834576
Period,Mean real labour income,Total workers
116,8619.604104750737,12879082
Period,Mean real labour income,Total workers
117,8641.477672017396,12997843
Period,Mean real labour income,Total workers
118,8676.325851592926,12961161
Period,Mean real labour income,Total workers
119,8702.349871432458,13002349
Period,Mean real labour income,Total workers
120,8778.098129110296,12980279
Period,Mean real labour income,Total workers
121,8806.914496481812,13024368
Period,Mean real labour income,Total workers
122,8847.147817846357,13019269
Period,Mean real labour income,Total workers
123,8858.344926382617,13066985
Period,Mean real labour income,Total workers
124,8853.613141785445,13184163
Period,Mean real labour income,Total workers
125,8902.169238221248,13155427
Period,Mean real labour income,Total workers
126,8922.920259959797,13170865
Period,Mean real labour income,Total workers
127,8962.964889267192,13203396
Period,Mean real labour income,Total workers
128,8999.301856020198,13114662
Period,Mean real labour income,Total workers
129,9057.993313327464,13104118
Period,Mean real labour income,Total workers
130,9139.901631265873,13070056
Period,Mean real labour income,Total workers
131,9127.595215060333,13147727
Period,Mean real labour income,Total workers
132,9143.659942607645,13158577
Period,Mean real labour income,Total workers
133,9190.130614145062,13063236
Period,Mean real labour income,Total workers
134,9205.002629224395,13065586
Period,Mean real labour income,Total workers
135,9223.82513490815,13095289
Period,Mean real labour income,Total workers
136,9279.982720413978,13071398
Period,Mean real labour income,Total workers
137,9309.21303712016,13113900
Period,Mean real labour income,Total workers
138,9321.663048707915,13094097
Period,Mean real labour income,Total workers
139,9332.019658273153,13161301
Period,Mean real labour income,Total workers
140,9362.665018110867,13158623
Period,Mean real labour income,Total workers
141,9425.737556397342,13070641
Period,Mean real labour income,Total workers
142,9476.468710687966,13070244
Period,Mean real labour income,Total workers
143,9497.785892816233,13145155
Period,Mean real labour income,Total workers
144,9537.14015937886,13174863
Period,Mean real labour income,Total workers
145,9559.148355367386,13132924
Period,Mean real labour income,Total workers
146,9579.664573197735,13088882
Period,Mean real labour income,Total workers
147,9645.404126977774,13088217
Period,Mean real labour income,Total workers
148,9671.56513806477,13107714
Period,Mean real labour income,Total workers
149,9685.569754987799,13123966
Period,Mean real labour income,Total workers
150,9713.664927617658,13139807
Period,Mean real labour income,Total workers
151,9731.065936095121,13162589
Period,Mean real labour income,Total workers
152,9749.466082777351,13173282
