Period,Mean real labour income,Total workers
47,6027.797817448087,11029164
Period,Mean real labour income,Total workers
48,6138.626078792467,11204411
Period,Mean real labour income,Total workers
49,6353.668407579574,10990578
Period,Mean real labour income,Total workers
50,6691.1046112911245,11001478
Period,Mean real labour income,Total workers
51,6974.394599213255,11063214
Period,Mean real labour income,Total workers
52,6937.261923131147,11068313
Period,Mean real labour income,Total workers
53,6524.3570616598045,11072695
Period,Mean real labour income,Total workers
54,6333.818531128706,11091712
Period,Mean real labour income,Total workers
55,6398.887289952824,11230660
Period,Mean real labour income,Total workers
56,6495.251812950514,11226079
Period,Mean real labour income,Total workers
57,6557.955979655783,11120714
Period,Mean real labour income,Total workers
58,6542.6689661640285,11089267
Period,Mean real labour income,Total workers
59,6704.180004143961,11081857
Period,Mean real labour income,Total workers
60,6723.555395366014,11148928
Period,Mean real labour income,Total workers
61,6622.93291256291,11221326
Period,Mean real labour income,Total workers
62,6623.14831333464,11224725
Period,Mean real labour income,Total workers
63,6682.8709834414,11232929
Period,Mean real labour income,Total workers
64,6654.856854808764,11339576
Period,Mean real labour income,Total workers
65,6689.224622679559,11343532
Period,Mean real labour income,Total workers
66,6701.377941872313,11364933
Period,Mean real labour income,Total workers
67,6731.637668495394,11412814
Period,Mean real labour income,Total workers
68,6746.130253148862,11411656
Period,Mean real labour income,Total workers
69,6741.677389243592,11481229
Period,Mean real labour income,Total workers
70,6765.30642975248,11540221
Period,Mean real labour income,Total workers
71,6793.1926925566995,11502801
Period,Mean real labour income,Total workers
72,6829.341345069553,11591206
Period,Mean real labour income,Total workers
73,6827.179441384581,11692102
Period,Mean real labour income,Total workers
74,6828.943536695606,11704478
Period,Mean real labour income,Total workers
75,6866.0030393765555,11701405
Period,Mean real labour income,Total workers
76,6903.197763019459,11704764
Period,Mean real labour income,Total workers
77,6908.174597729155,11757205
Period,Mean real labour income,Total workers
78,6945.082190376872,11775222
Period,Mean real labour income,Total workers
79,6984.978930311631,11832955
Period,Mean real labour income,Total workers
80,6987.841345361663,11900060
Period,Mean real labour income,Total workers
81,6983.3035212120685,11918181
Period,Mean real labour income,Total workers
82,7014.095421494285,11915269
Period,Mean real labour income,Total workers
83,7027.685517794158,11989610
Period,Mean real labour income,Total workers
84,7069.7576731093795,11993426
Period,Mean real labour income,Total workers
85,7060.321262641793,12090012
Period,Mean real labour income,Total workers
86,7090.004904182431,12102180
Period,Mean real labour income,Total workers
87,7080.414290029734,12206322
Period,Mean real labour income,Total workers
88,7127.14458814434,12226553
Period,Mean real labour income,Total workers
89,7160.14333195847,12260230
Period,Mean real labour income,Total workers
90,7150.224090748324,12291424
Period,Mean real labour income,Total workers
91,7205.571342452265,12281598
Period,Mean real labour income,Total workers
92,7214.672473425698,12339134
Period,Mean real labour income,Total workers
93,7201.233935284912,12472151
Period,Mean real labour income,Total workers
94,7263.18233007983,12411002
Period,Mean real labour income,Total workers
95,7293.993076767943,12410636
Period,Mean real labour income,Total workers
96,7336.887120311292,12352887
Period,Mean real labour income,Total workers
97,7328.429233214293,12390328
Period,Mean real labour income,Total workers
98,7341.325429650941,12398841
Period,Mean real labour income,Total workers
99,7349.35512433133,12444418
Period,Mean real labour income,Total workers
100,7380.101678932104,12520155
Period,Mean real labour income,Total workers
101,7395.524293531841,12560434
Period,Mean real labour income,Total workers
102,7426.839869673728,12503225
Period,Mean real labour income,Total workers
103,7481.426158007119,12477511
Period,Mean real labour income,Total workers
104,7451.453109680927,12573994
Period,Mean real labour income,Total workers
105,7441.8570500488,12622078
Period,Mean real labour income,Total workers
106,7466.944257066913,12665195
Period,Mean real labour income,Total workers
107,7487.387192573624,12648931
Period,Mean real labour income,Total workers
108,7504.803631477798,12645667
Period,Mean real labour income,Total workers
109,7520.769710080287,12704853
Period,Mean real labour income,Total workers
110,7522.130644256464,12709725
Period,Mean real labour income,Total workers
111,7541.878313842866,12670449
Period,Mean real labour income,Total workers
112,7571.39512684345,12720959
Period,Mean real labour income,Total workers
113,7568.613580077717,12729005
Period,Mean real labour income,Total workers
114,7602.08118020041,12703198
Period,Mean real labour income,Total workers
115,7600.485033332489,12752111
Period,Mean real labour income,Total workers
116,7609.8404525105125,12779692
Period,Mean real labour income,Total workers
117,7636.939249972886,12828382
Period,Mean real labour income,Total workers
118,7644.331369086476,12838853
Period,Mean real labour income,Total workers
119,7654.449252001746,12802021
Period,Mean real labour income,Total workers
120,7663.678514055608,12882009
Period,Mean real labour income,Total workers
121,7677.896974396706,12833488
Period,Mean real labour income,Total workers
122,7689.042018623689,12904684
Period,Mean real labour income,Total workers
123,7717.172785998431,12856000
Period,Mean real labour income,Total workers
124,7704.190710726971,12930152
Period,Mean real labour income,Total workers
125,7706.441947934779,12883009
Period,Mean real labour income,Total workers
126,7692.771909216577,12944311
Period,Mean real labour income,Total workers
127,7715.72461134836,12971425
Period,Mean real labour income,Total workers
128,7715.7923041106405,12972686
Period,Mean real labour income,Total workers
129,7731.83872808759,12923258
Period,Mean real labour income,Total workers
130,7742.697736195844,12979727
Period,Mean real labour income,Total workers
131,7787.350690681152,12979581
Period,Mean real labour income,Total workers
132,7796.0270453080475,13028683
Period,Mean real labour income,Total workers
133,7822.6042867379965,12951458
Period,Mean real labour income,Total workers
134,7805.712248077541,12984781
Period,Mean real labour income,Total workers
135,7827.73405942502,13029019
Period,Mean real labour income,Total workers
136,7838.410061960212,12990698
Period,Mean real labour income,Total workers
137,7861.375458624535,12977640
Period,Mean real labour income,Total workers
138,7876.874573190655,12972965
Period,Mean real labour income,Total workers
139,7907.4999948817585,12956379
Period,Mean real labour income,Total workers
140,7903.871083129969,12958380
Period,Mean real labour income,Total workers
141,7908.041554022117,12956903
Period,Mean real labour income,Total workers
142,7945.8196478687805,12951851
Period,Mean real labour income,Total workers
143,7911.4661380501875,13049807
Period,Mean real labour income,Total workers
144,7962.275750078462,13009737
Period,Mean real labour income,Total workers
145,7950.276351478346,12988124
Period,Mean real labour income,Total workers
146,7966.261875324357,12962406
Period,Mean real labour income,Total workers
147,7948.504145490221,12976378
Period,Mean real labour income,Total workers
148,7959.08998636441,12951832
Period,Mean real labour income,Total workers
149,7975.181678791445,12990933
Period,Mean real labour income,Total workers
150,8010.427554655237,12976342
Period,Mean real labour income,Total workers
151,7998.086516230946,13039212
Period,Mean real labour income,Total workers
152,8033.16735455952,13003912
