Period,Gini sedlac. all income,Gini sedlac. labour income,Gini sedlac. labour and pension income,Gini sedlac. labour and family benefits income,Decile ratio. all income,Decile ratio. labour income,Decile ratio. labour and pension income,Decile ratio. labour and familiy benefits income,Top 10%. share of all income,Top 10%. share of labour income,Top 10%. share of labour and pension income,Top 10%. share of labour and familiy benefits income,Bottom 10%. share of all income,Bottom 10%. share of labour income,Bottom 10%. share of labour and pension income,Bottom 10%. share of labour and familiy benefits income
49,0.394829149499279,0.466282652786579,0.412046768215565,0.447665883522789,7.0923860719901,12.1618714542567,8.73890491888313,9.76705046711961,0.229886950479951,0.260532889905575,0.238964160144433,0.24755411999774,0.031486932470235,0.02621727474342,0.023697852540056,0.036296089510897
50,0.393157569038148,0.439887321730189,0.405637610793011,0.432382476944565,6.91100011310985,10.1040302715419,8.02536002247353,8.61104036442593,0.22966609522748,0.252561243120454,0.236342825717694,0.243010199235155,0.034236881699976,0.028224546469641,0.025726569754122,0.039520313948544
51,0.394529501220737,0.440790510485428,0.409770398483221,0.428339853189208,6.82085139165125,10.3336073830865,8.13447255622663,8.5822595740985,0.231206906128275,0.255221729600004,0.239080851156172,0.244177799878335,0.03706216640421,0.026638308703145,0.027118062239138,0.039724473069576
52,0.397367420211989,0.444477793559299,0.411571910593428,0.430039259328648,7.0252624171211,10.9173825227836,8.58647365915595,8.62819126499786,0.231238918610371,0.253808374722502,0.238120195920098,0.244023657469362,0.036254915097009,0.028301926488296,0.027410309020165,0.040066422100053
53,0.395846685031861,0.447780011039773,0.411230235193949,0.432106918255695,6.82322919563561,10.5798339261181,8.35559748541925,8.33499996701815,0.227901305192654,0.254380507260335,0.235571383495061,0.24352156920915,0.036598722746922,0.027451229099207,0.027791410575498,0.039012089216126
54,0.396067902603136,0.447665534865733,0.41174186502998,0.432486802555759,7.00798510068107,10.9579572375581,8.24059271716524,8.6414606344514,0.227587301213749,0.253065014104874,0.235932837585999,0.24116923962364,0.037636528630565,0.028379723577963,0.027254869515694,0.042123188631877
55,0.398081773715662,0.44576901458806,0.412509768903499,0.431384164642211,6.93705748298752,10.7403039901541,8.38361473616823,8.34848648757415,0.23176359907091,0.255732236630272,0.239400078624581,0.24504008497243,0.03783319313388,0.029186960808164,0.028083129075196,0.041920499886362
56,0.389247915488912,0.444524072658265,0.407064790983859,0.425383338196076,6.79395270882676,10.4794955915701,8.2262121465483,8.35110855525472,0.218415913150575,0.242581594500521,0.228763874656105,0.227877460173397,0.036057599276513,0.028007824466212,0.026733707481396,0.040423242413692
57,0.391644336337795,0.449107433628061,0.412213495382206,0.427111975429666,6.77746002291332,10.6930591301617,8.58505718412281,8.17834686908246,0.220966004118251,0.250064685559205,0.233218975582598,0.23267763697946,0.037407058477189,0.027613125816196,0.027312253550175,0.040951297868236
58,0.389668118769449,0.449902283746158,0.408300765454684,0.430055658720093,6.73814157631832,10.9590768714902,8.33511223491455,8.51587700922006,0.221658838041635,0.247795754945018,0.232155116477041,0.232705685980026,0.036724930008887,0.028153279090471,0.027225728034273,0.040886656886559
59,0.392668508823209,0.449654289343474,0.409367618681894,0.431887742090315,6.93560437109322,11.1027164211028,8.4818175243642,8.79223611923619,0.219459968444854,0.246693380195833,0.22919347750676,0.232800348367151,0.037428954621701,0.027874793028962,0.028238060805717,0.040081161803633
60,0.385383773516262,0.44426056398056,0.403571041125695,0.424933117914491,6.7023202494047,10.8220442498022,8.14209874866788,8.38624112578008,0.215714546744915,0.240083903280004,0.225755129292487,0.225757965789712,0.038686241551105,0.030702480726966,0.029491269371046,0.042966012541991
61,0.387538995469171,0.447967411994538,0.408053112354723,0.423697664126009,6.71383964192703,11.0486950189488,8.4530214163333,8.36333015505328,0.215062195162174,0.241611301163229,0.226785046498748,0.225126449757351,0.038147482855138,0.028215766290075,0.027704109093066,0.041965377526529
62,0.387648378415585,0.44597139394117,0.405002156029961,0.428109268961381,6.77996870126712,10.9734232229348,8.38869489743043,8.53647389369022,0.217409296531312,0.24438963490306,0.226847931816171,0.230827042357234,0.038633236554922,0.030442428187696,0.028897631815351,0.043342009278825
63,0.392309868844978,0.450374310698588,0.409235807688587,0.431264368323044,6.64831510119923,10.7645806976214,8.07116165837165,8.40295991543925,0.221614767676207,0.2489144718451,0.231308235555035,0.235028062533066,0.04166351688786,0.032154452876101,0.030630357646082,0.04675718419265
64,0.394912359591774,0.449928069148251,0.411898110875933,0.431397382806869,6.66446328171797,10.5798988598906,8.32022115080975,8.49578202305251,0.22378917160883,0.257016630760354,0.23360704298957,0.242817119564992,0.039889944415019,0.030675148845554,0.030621292668295,0.042853039084351
